locality,biden,trump,biden_pct,trump_pct,youngkin,mcauliffe,pct_youngkin,pct_mcauliffe,youngkin_overperform,youngkin_overperform_morethan5
ACCOMACK COUNTY,7578,9172,44.68,54.07,7878,4948,61.08,38.37,7.009999999999998,Yes
ALBEMARLE COUNTY,42466,20804,65.68,32.18,19141,31919,37.21,62.05,5.030000000000001,Yes
ALEXANDRIA CITY,66240,14544,80.28,17.63,14013,43866,24.02,75.2,6.390000000000001,Yes
ALLEGHANY COUNTY,2243,5859,27.34,71.43,4530,1518,74.52,24.97,3.089999999999989,No
AMELIA COUNTY,2411,5390,30.55,68.29,4720,1617,74.19,25.419999999999998,5.8999999999999915,Yes
AMHERST COUNTY,5672,11041,33.35,64.93,9731,3897,71,28.43,6.069999999999993,Yes
APPOMATTOX COUNTY,2418,6702,26.09,72.31,5971,1438,80.26,19.330000000000002,7.950000000000003,Yes
ARLINGTON COUNTY,105344,22318,80.6,17.08,21548,73013,22.630000000000003,76.66999999999999,5.550000000000004,Yes
AUGUSTA COUNTY,10840,30714,25.64,72.65,26196,7231,77.93,21.51,5.280000000000001,Yes
BATH COUNTY,646,1834,25.83,73.33,1539,396,79.04,20.34,5.710000000000008,Yes
BEDFORD COUNTY,12176,35600,25.02,73.15,30912,8001,79.1,20.47,5.949999999999989,Yes
BLAND COUNTY,532,2903,15.29,83.44,2274,364,85.78,13.729999999999999,2.3400000000000034,No
BOTETOURT COUNTY,5700,15099,26.99,71.49,13066,3990,76.3,23.3,4.810000000000002,No
BRISTOL CITY,2313,5347,29.63,68.5,3773,1342,73.3,26.07,4.799999999999997,No
BRUNSWICK COUNTY,4552,3357,57.27,42.24,2880,3165,47.339999999999996,52.02,5.099999999999994,Yes
BUCHANAN COUNTY,1587,8311,15.94,83.5,5083,903,84.72,15.05,1.2199999999999989,No
BUCKINGHAM COUNTY,3471,4544,42.71,55.92,3894,2222,63.290000000000006,36.11,7.3700000000000045,Yes
BUENA VISTA CITY,825,1863,29.72,67.11,1459,481,74.33,24.5,7.219999999999999,Yes
CAMPBELL COUNTY,8070,21245,27,71.07,18213,4930,78.39,21.22,7.320000000000007,Yes
CAROLINE COUNTY,7657,8336,47.01,51.18,6917,5045,57.349999999999994,41.83,6.169999999999995,Yes
CARROLL COUNTY,2842,12659,18.16,80.88,9868,1910,83.45,16.150000000000002,2.5700000000000074,No
CHARLES CITY COUNTY,2624,1761,59.09,39.65,1550,1822,45.760000000000005,53.790000000000006,6.1100000000000065,Yes
CHARLOTTE COUNTY,2317,3815,37.43,61.62,3354,1396,70.26,29.24,8.640000000000008,Yes
CHARLOTTESVILLE CITY,20696,3094,85.5,12.78,2774,14378,15.99,82.88,3.210000000000001,No
CHESAPEAKE CITY,66377,58180,52.22,45.77,48079,42907,52.43,46.790000000000006,6.659999999999997,Yes
CHESTERFIELD COUNTY,106935,93326,52.45,45.77,80889,74085,51.760000000000005,47.41,5.990000000000002,Yes
CLARKE COUNTY,3920,5192,41.98,55.61,4642,2739,62.54,36.9,6.93,Yes
COLONIAL HEIGHTS CITY,2972,6007,32.5,65.68,4913,1729,73.27,25.79,7.589999999999989,Yes
COVINGTON CITY,964,1580,37.03,60.7,1198,579,66.82,32.290000000000006,6.11999999999999,Yes
CRAIG COUNTY,587,2536,18.52,80.03,2079,400,83.16,16,3.1299999999999955,No
CULPEPER COUNTY,10617,16012,39.15,59.05,13436,6661,66.47,32.949999999999996,7.420000000000002,Yes
CUMBERLAND COUNTY,2227,3019,41.94,56.85,2678,1515,63.379999999999995,35.86,6.529999999999994,Yes
DANVILLE CITY,11710,7428,60.4,38.31,5907,6872,45.92,53.42,7.609999999999999,Yes
DICKENSON COUNTY,1503,5748,20.58,78.71,3867,934,80.31,19.4,1.6000000000000085,No
DINWIDDIE COUNTY,6224,8695,41.24,57.61,7335,4181,63.33,36.1,5.719999999999999,Yes
EMPORIA CITY,1612,754,67.7,31.67,723,1087,39.47,59.33,7.799999999999997,Yes
ESSEX COUNTY,3038,3075,49.17,49.77,2684,1980,57,42.05,7.229999999999997,Yes
FAIRFAX COUNTY,419943,168401,69.89,28.03,152110,286316,34.47,64.89,6.439999999999998,Yes
FAIRFAX CITY,9174,4007,68.04,29.72,3606,6465,35.56,63.74,5.840000000000003,Yes
FALLS CHURCH CITY,7146,1490,81.03,16.9,1590,5388,22.630000000000003,76.69,5.730000000000004,Yes
FAUQUIER COUNTY,17565,25106,40.23,57.5,22252,11570,65.46000000000001,34.04,7.960000000000008,Yes
FLOYD COUNTY,3004,6225,31.93,66.17,5230,2203,69.75,29.38,3.5799999999999983,No
FLUVANNA COUNTY,7414,8155,46.81,51.48,7068,5312,56.75,42.65,5.270000000000003,Yes
FRANKLIN COUNTY,8381,20895,28.22,70.35,17842,5894,74.82,24.71,4.469999999999999,No
FRANKLIN CITY,2525,1487,62.22,36.64,1270,1680,42.83,56.660000000000004,6.189999999999998,Yes
FREDERICK COUNTY,17207,30558,35.33,62.74,25063,11164,68.9,30.69,6.160000000000004,Yes
FREDERICKSBURG CITY,8517,4037,66.22,31.39,3503,5402,38.77,59.790000000000006,7.380000000000003,Yes
GALAX CITY,777,1838,29.45,69.67,1424,492,73.94000000000001,25.55,4.27000000000001,No
GILES COUNTY,2156,6876,23.5,74.93,5788,1535,78.33,20.77,3.3999999999999915,No
